uuid,category_label,joint_count,bone_count,pred_joints,j2j,j2b,b2b,iou,precision,recall
7e00113b-0a31-50d6-b4b1-d8ae25f74392,character,51,50,28,0.02739490196108818,0.00812474280870187,0.09197819232940674,0.22730794115697728,0.2879520797884939,0.35551091624833986
b3234635-0797-53cd-8e88-d8717986ad74,anthropomorphic,52,51,29,0.029770584776997566,0.025739511025363003,0.1034746840596199,0.2100350253126981,0.25694559088533103,0.36718340946603767
8de1103f-2ffa-56c4-a288-ea693354aa9f,character,52,51,52,0.03036525845527649,0.010778534691780806,0.12122635543346405,0.32253499802657465,0.3746177538895881,0.4563730713118081
15b2fcc8-3115-50e7-b201-d73f4e71b4f1,"character, scanned data",52,51,51,0.018207397311925888,0.009541573190112031,0.11008056998252869,0.29838216767339565,0.35797798913218765,0.4412865379625502
e45edd83-7d6c-5543-9be3-6b3e5b000437,character,28,27,28,0.016610851511359215,0.013665089163363777,0.08911903947591782,0.5968442552978467,0.7397236925679256,0.7455367764651825
12336c5f-c7eb-5ec3-90c2-02eaabf13d27,character,52,51,42,0.031370095908641815,0.011266286920068697,0.11448892951011658,0.2940264165447079,0.3924628588618883,0.39743301603629466
756c18bd-dbaf-5c90-af80-8f863c93866a,animal,24,23,24,0.021491536870598793,0.012487906074966304,0.07165934145450592,0.44703672382140464,0.6590407764062178,0.5551328986842881
27aee8b1-6ff3-5b4b-a4c5-8a2737561b05,character,52,51,21,0.02089463546872139,0.015806126020227868,0.09222687780857086,0.2318728842731526,0.2753130935947635,0.3204724797977518
85740504-ac04-5951-8d10-f37e53864f64,electronic device,11,10,2,0.10762634128332138,0.06331329699605703,0.17602409422397614,0.08935724542264203,0.09332919353844364,0.26785714276618305
dd966820-2789-5aa1-a5f4-ac03fbf49aa7,"mythical creature, anthropomorphic",30,29,32,0.1599252074956894,0.05313312962971395,0.06856302171945572,0.09019768249574761,0.11422589097433142,0.19535603408189903
