uuid,category_label,joint_count,bone_count,pred_joints,vertex_count,face_count,j2j,j2b,b2b,iou,precision,recall
7e00113b-0a31-50d6-b4b1-d8ae25f74392,character,51,50,28,25555,29424,0.027328236028552055,0.007841770043471894,0.09255130589008331,0.19469885255245137,0.25832526060318994,0.3186996857809752
b3234635-0797-53cd-8e88-d8717986ad74,anthropomorphic,52,51,29,24822,24287,0.040163613855838776,0.02764348851131468,0.1005759984254837,0.21565812325489872,0.2920362352775408,0.3807466147931355
8de1103f-2ffa-56c4-a288-ea693354aa9f,character,52,51,51,19347,30956,0.029559090733528137,0.009761869345846422,0.12044548243284225,0.2692882742373268,0.32185933478579193,0.41092549607615086
15b2fcc8-3115-50e7-b201-d73f4e71b4f1,"character, scanned data",52,51,52,30864,53038,0.01677362248301506,0.009524415183337763,0.11011774837970734,0.3067107425833533,0.36858129790452765,0.4386516763053731
e45edd83-7d6c-5543-9be3-6b3e5b000437,character,28,27,34,12169,23132,0.011943144723773003,0.01347680129829849,0.10032741725444794,0.611120863355018,0.7700804588862172,0.7645223938871918
12336c5f-c7eb-5ec3-90c2-02eaabf13d27,character,52,51,24,22478,37375,0.013991400599479675,0.01166160994883588,0.09035630524158478,0.2564560777469319,0.33868800198712457,0.32570404828658867
756c18bd-dbaf-5c90-af80-8f863c93866a,animal,24,23,24,14464,27390,0.05048077180981636,0.016282372360971447,0.07107913494110107,0.381096172184229,0.527263097317677,0.48780775060493714
27aee8b1-6ff3-5b4b-a4c5-8a2737561b05,character,52,51,48,32358,53460,0.014694360084831715,0.01135442089434946,0.12678848206996918,0.30735635724098065,0.36705025016713055,0.4629023416632171
85740504-ac04-5951-8d10-f37e53864f64,electronic device,11,10,2,224,204,0.04009848088026047,0.015934643801301718,0.14926984906196594,0.1011562277282847,0.1011562277282847,0.28571428562053575
dd966820-2789-5aa1-a5f4-ac03fbf49aa7,"mythical creature, anthropomorphic",30,29,33,3748,5256,0.08200883120298386,0.039946439901761936,0.07016478478908539,0.17245288407868983,0.2626236746850687,0.2937809328862804
e52fec83-ed7c-536a-a024-22eb20620280,"character, anthropomorphic",52,51,21,14945,27479,0.09311890602111816,0.06404397668804795,0.07561337202787399,0.07170540538650234,0.13304624082271674,0.19742654853709932
761b7bf7-d535-57b0-9618-daf890258beb,"character, anthropomorphic",52,51,51,11819,20425,0.015972163528203964,0.009585609458108414,0.12140561640262604,0.31644073331263417,0.38727136555911457,0.4563510651260374
e1eb6075-8910-5cb1-b01c-0e8538263f19,"character, scanned data",52,51,51,54313,85768,0.021115047857165337,0.011454368519195008,0.09674753993749619,0.31532026113056966,0.37218405199483695,0.4280140614172631
5d13f068-038b-5caf-a0ad-82d76193bb35,character,52,51,52,14613,26928,0.020606132224202156,0.00985054879520948,0.1121629998087883,0.38655703793284363,0.4988939865226536,0.563438832688026
1cd5b75e-5348-55a5-9deb-3e081250b2fc,character,52,51,52,25803,43740,0.017167087644338608,0.009265138979222124,0.10729052871465683,0.29579959136009853,0.3420642989484639,0.4237377809906632
37e2c395-608c-5ef2-88ae-df0ee6178b2b,"character, anthropomorphic",42,41,45,4356,6410,0.03443484380841255,0.015119017215652598,0.10469377785921097,0.29072782397632885,0.3910051492497952,0.44472524801329594
e0c0452f-54b5-5dd8-abc3-2c0e944ec15e,anthropomorphic,28,27,16,5091,9474,0.057203687727451324,0.04088733554817736,0.07951107621192932,0.16412731954282792,0.2309740337409636,0.36639833071729094
6f97a287-da2c-5d95-bd3c-70f8b6305da3,"toy, anthropomorphic",34,33,18,4617,8234,0.05124892294406891,0.04360690164483256,0.05961225554347038,0.15985743741932873,0.26008802439861994,0.26269088234459254
6c064a52-030d-56ac-9c10-1ddce7582f7b,animal,44,43,38,8579,15298,0.05448109284043312,0.02592054916864359,0.08759456872940063,0.2345118694755208,0.3483923482106834,0.3561498850265688
8daca06a-6b5c-5220-9f45-7cea7a19b62d,animal,24,23,21,1884,3306,0.06981293857097626,0.03826296271844989,0.09964302182197571,0.3130630760464974,0.44354495823206164,0.5241947208099987
80c5fc7e-3791-5a73-ab5e-82a4dbf635dd,"character, anthropomorphic",52,51,26,27404,13863,0.030406881123781204,0.021577362114420302,0.08771542459726334,0.23208256736481261,0.2801162169022716,0.34940347873342803
eedbf46f-97d6-5559-bbf6-edfec8d6fb6e,"character, scanned data",52,51,51,4122,7054,0.011238185688853264,0.008695460971234841,0.1238211840391159,0.3943240672887934,0.47676856302452236,0.5372552589406377
e2cc6249-ff3b-598d-84b2-d85affaa4c59,"mythical creature, anatomy",14,13,34,6848,2840,0.014563538134098053,0.02810471316522179,0.1185283437371254,0.6754453374120509,0.7725507140986253,0.8760813595789089
916674f6-7b1d-5f0e-a562-8c27ed4cd4f9,character,52,51,52,8635,12548,0.013244599103927612,0.007943459404766774,0.12387010455131531,0.42439621792859716,0.4888831391081718,0.5720890492657101
fc5a25f2-ecbe-5b52-ab25-037ca547a893,"character, anthropomorphic",52,51,52,3640,5238,0.01813533715903759,0.010402491067697365,0.10692925751209259,0.37672010798876066,0.4847442267749851,0.5262109999502075
55602a88-ff5d-507b-bdc9-fd7a03b046af,character,40,39,21,12956,6050,0.02070106752216816,0.01845454586492408,0.09594201296567917,0.24394107063607304,0.3248460442252936,0.35313308974282076
8dbe0387-aa66-54b5-9c42-e81af7caa6ae,"character, anthropomorphic",34,33,21,5102,3126,0.05862753093242645,0.022525992699056155,0.07924352586269379,0.16547373506392865,0.27728876509271905,0.2952988871331616
08e4d408-f99d-590d-a6c6-aa78644b5429,electronic device,11,10,5,264,132,0.031585074961185455,0.00783495926298201,0.10796084254980087,0.1616161615823513,0.1908793819976452,0.36363636348484846
dd30afa7-58d7-5a8a-beb1-50444867e243,"anthropomorphic, toy",52,51,23,6568,8808,0.04609747976064682,0.025157871757350538,0.0818018764257431,0.2087764090255137,0.24798489538611573,0.3102079453510185
7baedcf7-a499-55a3-97e5-aa50dce00c05,"animal, anthropomorphic",33,32,23,2070,3331,0.0410609170794487,0.03220229925911711,0.09695914387702942,0.2708983897254468,0.33986991975375824,0.4435457284974365
5e7a9a49-19c9-5440-abcb-b56e3e315dce,character,54,53,17,3334,2462,0.013997197151184082,0.008407981699907823,0.08269835263490677,0.15538329449999558,0.18867657726985618,0.250660160525178
9f25f5f5-557f-5fc2-aeff-a4927ad05963,"character, anthropomorphic",28,27,39,99171,186920,0.022588161751627922,0.032547086578769945,0.10467849671840668,0.509681467105895,0.6151556431918578,0.675757004941226
5f7e1265-fb3f-5f1e-9170-1bebbb85fa3c,character,55,54,32,53373,54185,0.10442502796649933,0.027885260820767144,0.08623422682285309,0.17186493034565545,0.22207693607718323,0.25558411829661504
5650efa1-abbe-50ee-8fe7-b729e40756b7,anthropomorphic,52,51,23,11427,18552,0.05370538681745529,0.0351025530177614,0.09020097553730011,0.16178911033529697,0.21534170525757232,0.24249132220903571
e7707386-2e82-554b-8075-20e6d1953b42,household item,3,2,8,657,949,0.07903044670820236,0.13355696760118008,0.1495128870010376,0.4960866643872112,0.6326202445496046,0.6350629445483181
0f023f60-3fc5-5bb6-8d97-8871cc75273d,"character, anthropomorphic",52,51,30,5716,5976,0.020814087241888046,0.014191339948835473,0.09595011174678802,0.2725971805230594,0.3122216375516158,0.39073986956830864
3b6b298b-e37c-5d29-b84b-6b30bd6967cc,"sculpture, miscellaneous",22,21,12,1723,1164,0.14519064128398895,0.03807133403218662,0.06985236704349518,0.11225970900064533,0.232665898141613,0.27020101541292557
260cb045-d829-5da8-8871-74b9f3374839,"character, anthropomorphic",34,33,30,18541,32112,0.11771558970212936,0.06589011872808138,0.08815130591392517,0.17983417461212606,0.2883603652152557,0.3664771204650943
bc7d88ff-eaa7-5c6e-aa4b-c251e4fa851c,character,52,51,22,14145,23016,0.02524253912270069,0.012668855382468213,0.10275468230247498,0.19704557504672265,0.2798587538498063,0.2898330491359214
054774fa-50db-55de-bf93-a77fa2fe302d,"animal, mythical creature",18,17,22,2387,3122,0.04088443145155907,0.034331611336462876,0.06235956400632858,0.2989959743911383,0.5430264401003568,0.3709434051631231
b38eb44a-ea1c-5947-aa0a-8108e387a72e,"character, anthropomorphic",49,48,52,3374,3338,0.056422632187604904,0.010163170603426317,0.10526691377162933,0.20509304239357945,0.25439411109133425,0.34265356054209345
06fd3f6d-2c5e-56c6-b353-f59dcedaa2da,"character, anthropomorphic, weapon",22,21,32,10546,19356,0.0409584566950798,0.03128730676689884,0.0749070793390274,0.386455608987537,0.5068763030387741,0.5564025308004065
ec960fbd-ae94-530b-81c4-eddee828a3b9,anatomy,11,10,5,387,602,0.06705974042415619,0.020203148201107978,0.05082419514656067,0.30581938325042946,0.3387225545003638,0.41647849053526503
0be1eb27-1189-5b1d-b71d-193722d8403a,character,49,48,52,2790,2988,0.05937483534216881,0.007888209464279218,0.11543355882167816,0.20127846532315433,0.2790417663814269,0.34315030072791014
6abc3b69-f9c1-5095-a0db-ebebc3efb4e2,"mythical creature, anthropomorphic",22,21,25,6896,10428,0.22809137403964996,0.1023583059385419,0.12168474495410919,0.144821957390806,0.2207398711157719,0.25199215422039317
0fcd58c5-9b92-58e4-acbc-047e96e36d8b,"character, anthropomorphic",47,46,26,10429,12062,0.021711289882659912,0.015679818703434788,0.0666716992855072,0.24610336801495727,0.3221509198475271,0.3745479289496335
a6f2b890-a8e2-5f81-b266-49bb4840f12a,"toy, anthropomorphic",66,65,28,7964,13054,0.09601349383592606,0.031287482099807154,0.060859911143779755,0.12066195933446479,0.18507920965079042,0.22664193695659285
65ac25e4-e416-5bcf-9e3d-73aee9b63b56,"character, anthropomorphic",34,33,29,1825,3042,0.03645595908164978,0.022745425610176832,0.08165378868579865,0.3531244428946701,0.42032818042347964,0.4907753197043783
7a4753a1-42a6-56aa-80b1-c525c79c95d0,"anthropomorphic, toy",16,15,12,551,840,0.04826214909553528,0.030080250619600218,0.0515282079577446,0.2644818357788911,0.34190789971274627,0.4633923724190907
a9831d1d-f70d-553e-830e-0fc553bfa2eb,"animal, anthropomorphic",62,61,28,11268,20194,0.03496718779206276,0.013378445936333654,0.09422539919614792,0.12027275530220452,0.17468754786918234,0.23544739666130993
77417150-9318-5e6c-8add-2ee9ac34a3f9,anthropomorphic,7,6,6,626,952,0.10183034092187881,0.011352563897768656,0.07033613324165344,0.7302509741065109,0.8923853923025594,0.8315356832365212
61b41a47-04a7-59d0-923e-1ef93eda9c46,"character, weapon",23,22,22,6816,2272,0.09729376435279846,0.0340079022994773,0.08322474360466003,0.15538183324203825,0.30409147580109697,0.29393089600868344
36dfd87f-c759-5ff8-97a0-87fc7ce6d9d1,character,41,40,30,1784,3460,0.016423188149929047,0.009728641497592132,0.07165606319904327,0.3193168155266247,0.43122790242442216,0.47555194355569547
1b135af3-7358-542b-91fd-b53ad1043970,vehicle,3,2,3,576,504,0.051834624260663986,0.16272031826277575,0.09197520464658737,0.9068328445275874,0.9525904202791443,0.9507575757051404
54c57d10-6036-552f-a9b6-80af3f6fd1fe,character,52,51,29,74387,119536,0.022007174789905548,0.016256745310564494,0.08546561002731323,0.24656932682719554,0.31868144808595794,0.3636130287479019
ceb5c5b1-ecfa-52a5-8af4-f82fcb2795be,mythical creature,52,51,39,6766,10232,0.016858363524079323,0.010267525902376153,0.09260419756174088,0.30380114298261385,0.3796986199751928,0.46320441693386916
1b878a7f-567c-564d-8cf6-1f5f1968e034,sculpture,60,59,34,36022,58905,0.02546229027211666,0.016045018373166815,0.10214465856552124,0.13909885665225563,0.16994817144090657,0.27697963878920934
db02346b-ae79-5133-b22f-cca6c94d1091,"anthropomorphic, toy",22,21,15,2919,4652,0.06056573614478111,0.034323203439513846,0.053917400538921356,0.29389665447415014,0.41262258039743827,0.4679235356770933
dda1217d-3a06-565f-b46e-fac884c07cd7,character,52,51,39,19577,30315,0.03824785724282265,0.016189219325613707,0.10711102187633514,0.2140946740100371,0.27766536689517696,0.3678585857224454
b658ee19-c086-5051-8cec-4292f42fcf90,character,52,51,42,23626,39916,0.03072422184050083,0.011351964514081677,0.12005457282066345,0.2487124957911998,0.31193675621383576,0.40356248586580085
ab76f40c-3f40-5640-ad40-ac2600b9df16,character,71,70,52,17982,31026,0.03648931533098221,0.010360740122940535,0.10029010474681854,0.1267769267311482,0.1838712747753617,0.26418121942145667
d596b886-d3ba-5140-ae02-354c4598af79,character,34,33,21,3362,1864,0.04627080634236336,0.023069713619493303,0.0831194669008255,0.14423855954738032,0.2801345308409963,0.23333539419233218
c75b962c-4dc1-562e-b01c-2c0077b45314,character,58,57,52,7761,13009,0.012275920249521732,0.008008493623212697,0.09279394149780273,0.3158552705177126,0.3894538941093871,0.44187597842853216
3404cd0c-c434-5328-ab98-75a08fed7e06,anatomy,13,12,3,90,168,0.10722985863685608,0.03781260425845782,0.14320789277553558,0.006837606836847103,0.006837606836847103,0.07692307682692306
b2eda641-bb16-5133-b3c3-2b8375f0d490,character,52,51,34,6846,11224,0.013507953844964504,0.008679335532874307,0.10165902972221375,0.29089531978627486,0.33560133787012364,0.4348939091749468
324e12a9-f61b-57d5-aa8e-14519ac9ea6b,"anthropomorphic, toy",20,19,18,3728,5388,0.04668017104268074,0.0268755191225662,0.07733258605003357,0.5393735126316255,0.6326842397628565,0.5941348344873765
7be4b780-ade1-5fc1-9b16-7fab7245ab88,"character, anthropomorphic",34,33,34,1551,2602,0.019775202497839928,0.01827063301564468,0.09985071420669556,0.2745197156963314,0.32105071850343475,0.42542113407096804
118c9d22-0d40-5bae-9651-0bef7446be80,character,60,59,50,27378,34523,0.03472098708152771,0.014958814922720194,0.09409588575363159,0.2211701939161649,0.25106631363437804,0.35253906547999736
da0beda6-d498-5094-a693-7bd53794e6e1,character,52,51,29,9130,14911,0.05602855980396271,0.02345577456611048,0.10351172089576721,0.21733423915374983,0.25070687718968043,0.335780820070688
559af271-7ef7-5471-9811-feba862b1509,accessory,3,2,7,657,949,0.0819760337471962,0.10008004567186747,0.1500692069530487,0.5053233539473557,0.6406040195973035,0.6411383458895705
4c527583-a487-57a7-a5d0-5f37b015bc9a,anatomy,15,14,17,3930,4569,0.06111029535531998,0.03519263701951679,0.06881161779165268,0.548269209453673,0.6331962833455955,0.7063814872133647
48d04b50-c88f-53c5-95c8-e62a9f5c57f7,character,60,59,59,10166,14232,0.06716012209653854,0.01125469267905011,0.12212041765451431,0.1722447595591995,0.2296062885943552,0.26759027967018517
2512e0b5-82b6-596e-aebd-bcdd558e45ec,character,52,51,21,3650,1886,0.056101709604263306,0.02351581135631672,0.0817626491189003,0.15085060730169148,0.18756815697480447,0.2488228428824698
32c4b04b-4cdd-5ed7-9d63-85d3bca3ead9,plant,7,6,11,968,1173,0.1880994588136673,0.06107818043198098,0.06028604507446289,0.03397767557619463,0.15646258501565707,0.16322937617782154
9ecfe854-13a7-5737-82c2-5ef92d1e22a2,character,34,33,34,6094,5682,0.0106253232806921,0.009209062433322234,0.10810563713312149,0.43264905844580587,0.5420049147017052,0.576588476769607
0d5858a8-3c92-598a-b55c-27d2198fc48a,animal,43,42,29,12946,8718,0.044433947652578354,0.028152916640653437,0.12174081057310104,0.22685771750615932,0.29071567793024783,0.4362788846342177
cfb668fa-1c14-5bc2-a1b2-74b93587c4a3,"character, anthropomorphic",32,31,32,25093,20780,0.02267482504248619,0.0187708523881156,0.09396196901798248,0.4563394594364366,0.5589919834471293,0.6097634976587138
e377b3c5-3c22-53a2-b08a-9a3cc37562fe,character,52,51,48,13912,22374,0.037107452750205994,0.013763335752931502,0.11309219896793365,0.236216079230648,0.2787367812843721,0.37147536840843276
b7389d55-0433-5c58-9f03-66782abe7d74,"character, mythical creature",46,45,46,2069,2066,0.011464538984000683,0.008809297824842835,0.11822879314422607,0.3641127731856942,0.5794270822237287,0.5025105512765612
1ca11d06-fd48-57ea-a7c3-d54ce627d3c6,character,52,51,30,27404,13863,0.06996607035398483,0.021936541656032205,0.07489845156669617,0.13329986764395715,0.19700491682243967,0.24274999731261365
563c7f95-0a52-570b-ba44-a46ba1305002,character,52,51,20,7146,3564,0.04167134314775467,0.015896848181728273,0.08452342450618744,0.15221494768332638,0.17700119644696086,0.24682115217378067
42bc9d25-746c-5365-94a3-9f2dcbecb01b,character,52,51,30,21897,41270,0.05811268091201782,0.020183780851463478,0.07484392821788788,0.10745895243325435,0.1436770059349496,0.2119394363186739
60a472e7-83c4-5e61-8e64-7bf9822d97e8,"animal, toy",6,5,9,666,1076,0.18159185349941254,0.23870907511769068,0.1415633261203766,0.4832683560099225,0.5241315300214033,0.5389016896147227
30741faa-f839-5e9a-8161-56a600020649,character,58,57,58,8473,13877,0.011872846633195877,0.008026140622577855,0.09666489064693451,0.3387083285967303,0.4598387873668259,0.5006376225411119
a7752c05-8d54-5b40-85b9-5a6712426edd,"mythical creature, anthropomorphic",30,29,36,1167,1270,0.07029083371162415,0.04982576046798689,0.08167190104722977,0.3525437047191281,0.4910668201717007,0.536996680381465
350b9039-b5fe-5b1f-9306-9365c77e1477,character,52,51,52,10274,17696,0.031040476635098457,0.010457298308700467,0.1273551732301712,0.2980552683595573,0.35038384926724925,0.40380361771412604
f78c417b-1f3e-5736-828b-0fad6e86353b,"character, mythical creature",56,55,28,36409,55050,0.02194562926888466,0.017420253699778447,0.08357258141040802,0.2152816741142486,0.2621811357969546,0.3431096753771595
da36f032-3d4b-5bb1-83b6-c2f4f91b473b,"animal, anthropomorphic",42,41,27,2881,3258,0.07380279898643494,0.06711429812841946,0.09370377659797668,0.1553813069899785,0.2794603578083229,0.292372145689458
45e4a070-ae1e-5bf5-a1c9-5fd988ad1694,clothing,16,15,14,1109,1247,0.20985615253448486,0.15718937179605877,0.12088718265295029,0.027090901926551433,0.0884379683925396,0.12173861152180483
7d481eee-8e54-5b4c-a127-fcb7f0097610,character,34,33,19,1326,1704,0.015988077968358994,0.008056144916305416,0.06911231577396393,0.2811812826452566,0.3130558470767381,0.4237151446787062
f0659240-5f7f-5f39-854b-a972f50666c6,character,50,49,51,10578,18568,0.03179669752717018,0.01583867435749876,0.11891575157642365,0.181971190737308,0.2588987953314526,0.33051876905569755
f949f254-c243-5b51-9b28-7ac8020a21b5,"mythical creature, anthropomorphic",46,45,26,28636,14488,0.04337906464934349,0.018174914875999093,0.0687774196267128,0.1258784661248933,0.1865725278166341,0.29974491185109015
580cac6c-d3bf-5af4-8e3c-fae459b3cd0b,character,52,51,29,27402,13863,0.02460138499736786,0.015972259825753884,0.0863991379737854,0.23033600717431715,0.29213494060646783,0.3244255271603235
5b84b3be-9c8a-56dc-a7ef-fe966f43a758,"character, anthropomorphic",52,51,52,23325,45342,0.013822725974023342,0.007875997709701411,0.13425227999687195,0.2787914911939388,0.31526173943813585,0.3845887073236472
c2129191-0e12-5ebf-8f13-5ac40d093f11,toy,29,28,32,40625,69384,0.0919758528470993,0.0347925306414254,0.06564076244831085,0.08383633762469098,0.19030244975842364,0.1747250173343288
f43dbfd8-2e43-509e-abf8-1b7de05ae312,character,33,32,36,9290,4696,0.01974424533545971,0.01379675439643001,0.09207978844642639,0.43215607694363667,0.5798808124995041,0.5944741125883382
e2a8a8bb-2a41-5fdb-829d-5cd282149e57,sporting goods,54,53,31,3262,5437,0.045965589582920074,0.02676070987006589,0.08049702644348145,0.18391402413697552,0.2556995686577281,0.3400022695279874
9890225d-4225-5ac3-b6d5-8e47a89b4a77,"anthropomorphic, character",19,18,20,285,306,0.050272077322006226,0.03480163812637329,0.07796961069107056,0.3900674705965558,0.5461333703316624,0.5494734582881492
4d4e06ae-411d-5727-b122-a1a27b9e8312,"animal, anthropomorphic",46,45,44,2027,2844,0.17066295444965363,0.06437341888985512,0.09695795178413391,0.13050592510143852,0.19873976669038776,0.24412863013063274
